fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
5 jul 2024,12738,12885,12568,12583,12580,214176700
3 jul 2024,12166,12828,12136,12828,12825,215749000
2 jul 2024,12113,12341,12103,12267,12264,218374000
1 jul 2024,12347,12484,11883,12430,12427,284885500
28 jun 2024,12458,12771,12275,12354,12351,315516700
27 jun 2024,12410,12641,12292,12399,12396,252571700
26 jun 2024,12613,12812,12260,12640,12637,362975900
25 jun 2024,12120,12650,11932,12609,12606,425787500
24 jun 2024,12324,12446,11804,11811,11808,476060900
21 jun 2024,12712,13063,12430,12657,12654,655484700
20 jun 2024,13980,14076,12952,13078,13075,517768400
18 jun 2024,13114,13633,13069,13558,13555,294335100
17 jun 2024,13299,13373,12958,13098,13095,288504400
14 jun 2024,12996,13284,12832,13188,13185,309320400
13 jun 2024,12939,12980,12716,12961,12958,260704500
12 jun 2024,12306,12688,12257,12520,12517,299595000
11 jun 2024,12177,12287,11874,12091,12088,222551200
10 jun 2024,12037,12310,11701,12179,12175,314162700
7 jun 2024,11977,12169,11802,12089,12085,412386000
6 jun 2024,12405,12559,11832,12100,12096,664696000
5 jun 2024,11837,12245,11747,12244,12240,528402000
4 jun 2024,11572,11660,11404,11644,11640,403324000
3 jun 2024,11362,11500,11200,11500,11496,438392000
31 may 2024,11252,11272,10694,10963,10960,613263000
30 may 2024,11465,11582,10966,11050,11046,487350000
29 may 2024,11305,11549,11090,11482,11479,557442000
28 may 2024,11024,11494,10988,11390,11386,652728000
24 may 2024,10445,10647,10300,10647,10643,429494000
23 may 2024,10203,10632,10152,10380,10376,835065000
22 may 2024,9546,9602,9325,9495,9492,548648000
21 may 2024,9360,9540,9318,9539,9535,328946000
20 may 2024,9375,9520,9344,9478,9475,318764000
17 may 2024,9437,9474,9181,9248,9245,359691000
16 may 2024,9491,9582,9410,9436,9433,323952000
15 may 2024,9247,9486,9160,9463,9460,417735000
14 may 2024,8960,9165,8893,9136,9133,296507000
13 may 2024,9048,9100,8853,9040,9037,289680000
10 may 2024,9031,9140,8923,8988,8985,335325000
